state	power	likelihood
840	0.520429	-14263.2
850	0.520429	-14258.8
860	0.520429	-14263.8
870	0.520429	-14275.9
880	0.520429	-14264.5
890	0.520429	-14276.4
900	0.520429	-14252.2
910	0.520429	-14269.5
920	0.520429	-14258.4
930	0.520429	-14256.7
940	0.520429	-14256.4
950	0.520429	-14277.8
960	0.520429	-14271.1
970	0.520429	-14260.8
980	0.520429	-14267.9
990	0.520429	-14255
1000	0.520429	-14262.1
260	0.462664	-14283
270	0.462664	-14269.7
280	0.462664	-14273
290	0.462664	-14291.3
300	0.462664	-14289.8
310	0.462664	-14276
320	0.462664	-14266.8
330	0.462664	-14284.4
340	0.462664	-14275.6
350	0.462664	-14281.6
360	0.462664	-14286.8
370	0.462664	-14272
380	0.462664	-14269.1
390	0.462664	-14266.4
400	0.462664	-14278.4
410	0.462664	-14274.9
420	0.462664	-14267.9
430	0.462664	-14285.8
440	0.462664	-14264.1
450	0.462664	-14274.9
460	0.462664	-14277.5
470	0.462664	-14287.5
480	0.462664	-14288.9
490	0.462664	-14275.6
500	0.462664	-14270.7
510	0.462664	-14264.8
520	0.462664	-14256.7
530	0.462664	-14257.9
540	0.462664	-14265.7
550	0.462664	-14265.3
560	0.462664	-14255.2
570	0.462664	-14259.6
580	0.462664	-14264.8
590	0.462664	-14276
600	0.462664	-14258.2
610	0.462664	-14269.2
620	0.462664	-14267.4
630	0.462664	-14268.8
640	0.462664	-14288.1
650	0.462664	-14272.7
