state	power	likelihood
400	0.214058	-14321.8
410	0.214058	-14324.8
420	0.214058	-14357
430	0.214058	-14311.3
440	0.214058	-14287.7
450	0.214058	-14281.6
460	0.214058	-14349.2
470	0.214058	-14330.3
480	0.214058	-14345.4
490	0.214058	-14286.6
500	0.214058	-14319.5
510	0.214058	-14294.5
520	0.214058	-14303.8
530	0.214058	-14341
540	0.214058	-14321.4
550	0.214058	-14307.3
560	0.214058	-14352.4
570	0.214058	-14291.8
580	0.214058	-14286.4
590	0.214058	-14330.6
600	0.214058	-14295.6
610	0.214058	-14298.2
620	0.214058	-14306.6
630	0.214058	-14328.9
640	0.214058	-14304.4
650	0.214058	-14299.7
660	0.214058	-14285.1
670	0.214058	-14311.5
680	0.214058	-14344.3
690	0.214058	-14307.7
700	0.214058	-14323.2
710	0.214058	-14313.4
720	0.214058	-14321
730	0.214058	-14321
740	0.214058	-14348.9
750	0.214058	-14317.6
760	0.214058	-14292
770	0.214058	-14298.9
780	0.214058	-14359.1
790	0.214058	-14280.9
800	0.214058	-14258.8
810	0.214058	-14262.9
820	0.214058	-14289.2
830	0.214058	-14306.9
840	0.214058	-14311.4
850	0.214058	-14297.2
860	0.214058	-14313.4
870	0.214058	-14268.3
880	0.214058	-14300.6
890	0.214058	-14286.9
900	0.214058	-14334.1
910	0.214058	-14283.3
920	0.214058	-14277.2
930	0.214058	-14257.4
940	0.214058	-14353.6
950	0.214058	-14320.6
960	0.214058	-14300.7
970	0.214058	-14329.4
980	0.214058	-14323
990	0.214058	-14320.8
1000	0.214058	-14279.7
260	0.185935	-14337.4
270	0.185935	-14307.5
280	0.185935	-14305.8
290	0.185935	-14322.5
300	0.185935	-14313.5
310	0.185935	-14350.3
320	0.185935	-14361.1
330	0.185935	-14303.5
340	0.185935	-14342.5
350	0.185935	-14336.5
360	0.185935	-14335.5
370	0.185935	-14310
380	0.185935	-14312.5
390	0.185935	-14330.2
400	0.185935	-14298.4
410	0.185935	-14282.2
420	0.185935	-14298.1
430	0.185935	-14345.5
440	0.185935	-14327.8
450	0.185935	-14300.6
460	0.185935	-14325.8
470	0.185935	-14328.6
480	0.185935	-14321.7
490	0.185935	-14344.4
500	0.185935	-14331.7
510	0.185935	-14308.9
520	0.185935	-14297.4
530	0.185935	-14314.6
540	0.185935	-14315.8
550	0.185935	-14339.9
560	0.185935	-14318.8
570	0.185935	-14356.6
580	0.185935	-14300.2
590	0.185935	-14323.6
600	0.185935	-14297.4
610	0.185935	-14360.4
620	0.185935	-14308.2
630	0.185935	-14296.4
640	0.185935	-14319.2
650	0.185935	-14326.2
660	0.185935	-14335.5
670	0.185935	-14316
680	0.185935	-14354.6
690	0.185935	-14360.7
700	0.185935	-14323.5
710	0.185935	-14269
720	0.185935	-14311.3
730	0.185935	-14317.1
740	0.185935	-14308.3
750	0.185935	-14347.2
760	0.185935	-14305.1
770	0.185935	-14299.7
780	0.185935	-14315.9
790	0.185935	-14293.4
800	0.185935	-14311.7
